Rank,Track,Artist,Streams,Link,Week,Album_Name,Duration_MS,Explicit,Track_Number_on_Album,Artist_Followers,Artist_Genres
48,Silence,Marshmello,8827338,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,2017-08-18,Silence,180822,False,1,30270515,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']"
49,Lonely Together (feat. Rita Ora),Avicii,8727428,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,2017-08-18,AVĪCI (01),181812,False,2,19551600,"['dance pop', 'edm', 'pop', 'pop dance']"
50,Slide (feat. Frank Ocean & Migos),Calvin Harris,8691435,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl,2017-08-18,Funk Wav Bounces Vol.1,230813,True,1,21571054,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
51,Young Dumb & Broke,Khalid,8519529,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2017-08-18,American Teen,202546,False,2,13736355,"['alternative r&b', 'pop']"
52,Havana,Camila Cabello,8215694,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2017-08-18,Havana,216896,False,1,21110469,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
53,Crying in the Club,Camila Cabello,8037593,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev,2017-08-18,Crying in the Club,216391,False,1,21110469,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
54,Bad Liar,Selena Gomez,7964423,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23,2017-08-18,Bad Liar,214647,False,1,26725031,"['dance pop', 'pop', 'post-teen pop']"
55,Rich Love (with Seeb),OneRepublic,7946663,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD,2017-08-18,Rich Love,201256,False,1,11648310,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock', 'post-teen pop']"
56,Signs,Drake,7816487,https://open.spotify.com/track/5EnYT6F7wEcdege6mDHEfO,2017-08-18,Signs,234373,False,1,54405324,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
57,Ahora Dice,Chris Jedi,7723099,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2017-08-18,Ahora Dice,271080,False,1,1527368,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
58,Mask Off,Future,7577530,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,2017-08-18,FUTURE,204600,True,7,10104988,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
59,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,7525711,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-08-18,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),208162,False,1,10051031,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']"
60,It Ain't Me (with Selena Gomez),Kygo,7352062,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-08-18,It Ain't Me (with Selena Gomez),220780,False,1,7372033,"['edm', 'pop', 'pop dance', 'tropical house']"
61,Feel It Still,Portugal. The Man,7280913,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,2017-08-18,Woodstock,163253,False,4,1217767,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']"
62,Galway Girl,Ed Sheeran,7109808,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,2017-08-18,÷ (Deluxe),170826,False,6,78967872,"['pop', 'uk pop']"
63,Most Girls,Hailee Steinfeld,6914296,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ,2017-08-18,Most Girls,204400,False,1,6691684,"['dance pop', 'pop', 'post-teen pop']"
64,Bodak Yellow,Cardi B,6909667,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,2017-08-18,Bodak Yellow,223962,True,1,15813726,"['pop', 'pop rap', 'post-teen pop', 'rap']"
65,OK,Robin Schulz,6815261,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS,2017-08-18,OK,189306,False,1,2701593,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']"
66,Hey DJ,CNCO,6756021,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2017-08-18,Hey DJ,205520,False,1,7592885,"['boy band', 'latin', 'latin pop', 'reggaeton']"
67,What About Us,P!nk,6742242,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv,2017-08-18,What About Us,271519,False,1,10754333,"['dance pop', 'pop', 'post-teen pop']"
68,goosebumps,Travis Scott,6550742,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2017-08-18,Birds In The Trap Sing McKnight,243836,True,9,16143636,"['rap', 'slap house']"
69,Would You Ever,Skrillex,6513582,https://open.spotify.com/track/57p8CBvPOxrvyCbn6ttl5r,2017-08-18,Would You Ever,234285,False,1,7791193,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
70,1-800-273-8255,Logic,6492204,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,2017-08-18,Everybody,250173,True,10,5304761,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
71,DNA.,Kendrick Lamar,6446275,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj,2017-08-18,DAMN.,185946,True,2,17080939,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
72,Say You Won't Let Go,James Arthur,6251604,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-08-18,Back from the Edge,211466,False,2,7893527,"['pop', 'post-teen pop', 'talent show', 'uk pop']"
73,Get Low (with Liam Payne),Zedd,6193184,https://open.spotify.com/track/1CKd1PnqfYx0H12V9MSaIY,2017-08-18,Get Low (with Liam Payne),204583,False,1,5428961,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'post-teen pop', 'tropical house']"
74,Tu Foto,Ozuna,6162757,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp,2017-08-18,Tu Foto,193117,False,1,27797552,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
75,Magnolia,Playboi Carti,6038468,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl,2017-08-18,Playboi Carti,181812,True,2,4583301,"['atl hip hop', 'rap', 'trap']"
76,Closer,The Chainsmokers,5925118,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-08-18,Closer,244960,False,1,17742887,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
77,Love Galore (feat. Travis Scott),SZA,5910248,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs,2017-08-18,Ctrl,275080,True,2,5096754,"['pop', 'pop rap', 'r&b']"
78,Malibu,Miley Cyrus,5909989,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O,2017-08-18,Malibu,231905,False,1,14796541,"['dance pop', 'pop', 'post-teen pop']"
79,Passionfruit,Drake,5825417,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,2017-08-18,More Life,298940,True,3,54405324,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
80,Slippery (feat. Gucci Mane),Migos,5813622,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE,2017-08-18,Culture,304041,True,6,11354618,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
81,Mayores,Becky G,5760081,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2017-08-18,Mayores,202453,False,1,10032313,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']"
82,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,5727692,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n,2017-08-18,DAMN.,227360,True,6,17080939,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
83,La Rompe Corazones,Daddy Yankee,5632685,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,2017-08-18,La Rompe Corazones,204520,False,1,22851422,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']"
84,Down,Fifth Harmony,5578204,https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ,2017-08-18,Down,164985,False,1,12521563,"['dance pop', 'electropop', 'girl group', 'pop', 'post-teen pop', 'talent show']"
85,Issues,Julia Michaels,5556185,https://open.spotify.com/track/0xG0SHshCStMEyNbNC5d4k,2017-08-18,Nervous System,176320,False,1,3726573,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
86,Me Enamoré,Shakira,5451369,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9,2017-08-18,El Dorado,226893,False,1,21467047,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
87,Body Like A Back Road,Sam Hunt,5423242,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO,2017-08-18,Body Like A Back Road,165386,False,1,2070514,"['contemporary country', 'country pop']"
88,First Time,Kygo,5420203,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr,2017-08-18,First Time,193511,False,1,7372033,"['edm', 'pop', 'pop dance', 'tropical house']"
89,Now Or Never,Halsey,5412000,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8,2017-08-18,hopeless fountain kingdom (Deluxe),214801,False,6,14646339,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']"
90,Robarte un Beso,Carlos Vives,5227529,https://open.spotify.com/track/4z3GJkrtH97Bj6fRta983T,2017-08-18,Robarte un Beso,193158,False,1,4351648,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']"
91,Came Here for Love,Sigala,5172971,https://open.spotify.com/track/3kGfazcbVvVkuZunzlLgTD,2017-08-18,Came Here for Love,202999,False,1,1258749,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house']"
92,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5108457,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-08-18,Rockabye (feat. Sean Paul & Anne-Marie),251088,False,1,4296325,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']"
93,Starboy,The Weeknd,5083181,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-08-18,Starboy,230453,True,1,31348348,"['canadian contemporary r&b', 'canadian pop', 'pop']"
94,Krippy Kush,Farruko,5056734,https://open.spotify.com/track/3rgjBiAMVGnxmsTDmUy8vb,2017-08-18,Krippy Kush,230520,True,1,9818057,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']"
95,El Amante,Nicky Jam,5043734,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-08-18,Fénix,219506,False,5,14294286,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']"
96,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,5040388,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-08-18,I Don’t Wanna Live Forever (Fifty Shades Darker),245200,False,1,15423979,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
97,OMG (feat. Quavo),Camila Cabello,5025602,https://open.spotify.com/track/4xBjsLUSjcx2h7PcRikpQp,2017-08-18,OMG (feat. Quavo),228893,False,1,21110469,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
98,Perfect,Ed Sheeran,5019158,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-08-18,÷ (Deluxe),263400,False,5,78967872,"['pop', 'uk pop']"
99,Summer Air,ItaloBrothers,4899974,https://open.spotify.com/track/3GPI7hYiqD6enLRobhkBm8,2017-08-18,Summer Air,183587,False,1,370304,"['dance pop', 'europop', 'hands up', 'italo dance', 'pop dance']"
100,I Feel It Coming,The Weeknd,4898507,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-08-18,Starboy,269186,False,18,31348348,"['canadian contemporary r&b', 'canadian pop', 'pop']"
101,Sigo Extrañándote,J Balvin,4885599,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,2017-08-18,Energía,201280,False,5,27317844,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
102,One Dance,Drake,4882298,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-08-18,Views,173986,False,12,54405324,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
103,Solo Dance,Martin Jensen,4842527,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2017-08-18,Solo Dance,174933,False,1,1072399,"['dance pop', 'danish electronic', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
104,Scared to Be Lonely,Martin Garrix,4836491,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-08-18,Scared to Be Lonely,220883,False,1,14595128,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
